name,email,role,days online,views,contributions,questions,notes,answers
a,a@gmail.com,Instructor,57,109,94,0,55,13
b,b@berkeley.edu,Instructor,92,101,65,0,9,36
c,c@ischool.berkeley.edu,Instructor,60,137,55,0,12,21
d,d@berkeley.edu,Student,57,131,4,3,0,0
e,e@berkeley.edu,Student,35,99,0,0,0,0
f,f@berkeley.edu,Student,55,103,1,1,0,0
g,g@berkeley.edu,Student,65,132,11,3,0,4
h,h@berkeley.edu,Student,94,105,0,0,0,0
i,i@berkeley.edu,Student,60,126,2,2,0,0
j,j@berkeley.edu,Student,44,127,19,10,0,1
k,k@berkeley.edu,Student,35,70,6,4,0,0
l,l@berkeley.edu,Student,40,101,8,2,0,2
m,m@berkeley.edu,Student,41,8,0,0,0,0
n,n@berkeley.edu,Student,69,132,0,0,0,0
o,o@berkeley.edu,Student,34,85,1,1,0,0
p,p@berkeley.edu,Student,74,117,0,0,0,0
q,q@berkeley.edu,Student,51,129,0,0,0,0
r,r@berkeley.edu,Student,23,75,0,0,0,0
s,s@berkeley.edu,Student,52,130,5,1,0,2
t,t@berkeley.edu,Student,60,113,4,3,0,0
u,u@berkeley.edu,Student,40,128,8,4,0,0
v,v@berkeley.edu,Student,41,123,3,0,0,1
w,w@berkeley.edu,Student,45,107,3,2,0,0
x,x@berkeley.edu,Student,50,6,1,1,0,0
y,y@berkeley.edu,Student,50,77,1,0,0,0
z,z@berkeley.edu,Student,61,102,1,1,0,0
aa,aa@berkeley.edu,Student,50,117,0,0,0,0
bb,bb@berkeley.edu,Student,39,92,1,1,0,0
cc,cc@berkeley.edu,Student,51,133,0,0,0,0
dd,dd@berkeley.edu,Student,56,120,2,1,0,0
ee,ee@berkeley.edu,Student,87,135,1,1,0,0
ff,ff@berkeley.edu,Student,53,123,0,0,0,0
gg,gg@berkeley.edu,Student,49,115,3,3,0,0
hh,hh@berkeley.edu,Student,48,92,0,0,0,0
ii,ii@berkeley.edu,Student,49,119,4,2,0,0
jj,jj@berkeley.edu,Student,55,126,1,1,0,0
kk,kk@berkeley.edu,Student,46,125,0,0,0,0
ll,ll@berkeley.edu,Student,106,5,0,0,0,0
mm,mm@berkeley.edu,Student,43,133,3,0,0,0
nn,nn@berkeley.edu,Student,70,132,10,2,0,0
oo,oo@berkeley.edu,Student,4,5,0,0,0,0
pp,pp@gmail.com,Student,40,3,1,1,0,0
qq,qq@berkeley.edu,Student,45,112,0,0,0,0
rr,rr@berkeley.edu,Student,55,120,2,1,0,0
ss,ss@ischool.berkeley.edu,Student,44,90,0,0,0,0
tt,tt@berkeley.edu,Student,55,130,7,2,0,1
uu,uu@berkeley.edu,Student,89,122,4,3,0,0
vv,vv@berkeley.edu,Student,52,124,5,0,0,0
ww,ww@berkeley.edu,Student,65,134,30,6,0,1
xx,xx@berkeley.edu,Student,51,85,1,0,0,0
yy,yy@berkeley.edu,Student,60,130,4,4,0,0
zz,zz@berkeley.edu,Student,34,108,4,0,0,0
aaa,aaa@gmail.com,Student,67,8,0,0,0,0
